type,material,action,Time_Window_High,High_Threshold,Time_Window_Low,Low_Threshold,Priority
707,minecraft:jungle_wall_sign,0,5,1,3600,-1,4
707,minecraft:jungle_wall_sign,1,5,1,3600,-1,4
714,minecraft:detector_rail,1,5,1,3600,-1,2
714,minecraft:detector_rail,0,5,1,3600,-1,2
719,minecraft:red_wall_banner,1,5,1,3600,-1,3
719,minecraft:red_wall_banner,0,5,1,3600,-1,3
736,minecraft:black_wall_banner,1,5,1,3600,-1,3
736,minecraft:black_wall_banner,0,5,1,3600,-1,3
759,minecraft:pink_wall_banner,1,5,1,3600,-1,3
759,minecraft:pink_wall_banner,0,5,1,3600,-1,3
760,minecraft:pink_banner,1,5,1,3600,-1,3
760,minecraft:pink_banner,0,5,1,3600,-1,3
773,minecraft:light_blue_banner,1,5,1,3600,-1,3
773,minecraft:light_blue_banner,0,5,1,3600,-1,3
774,minecraft:light_blue_wall_banner,1,5,1,3600,-1,3
774,minecraft:light_blue_wall_banner,0,5,1,3600,-1,3
777,minecraft:white_banner,1,5,1,3600,-1,3
777,minecraft:white_banner,0,5,1,3600,-1,3
788,minecraft:smooth_basalt,1,5,1,3600,-1,2
788,minecraft:smooth_basalt,0,5,1,3600,-1,2
832,minecraft:creeper_banner_pattern,1,5,1,3600,-1,3
832,minecraft:creeper_banner_pattern,0,5,1,3600,-1,3
864,minecraft:black_banner,1,5,1,3600,-1,3
864,minecraft:black_banner,0,5,1,3600,-1,3
893,minecraft:mojang_banner_pattern,1,5,1,3600,-1,3
893,minecraft:mojang_banner_pattern,0,5,1,3600,-1,3
894,minecraft:blue_wall_banner,1,5,1,3600,-1,3
894,minecraft:blue_wall_banner,0,5,1,3600,-1,3
916,minecraft:light_gray_banner,1,5,1,3600,-1,3
916,minecraft:light_gray_banner,0,5,1,3600,-1,3
960,minecraft:green_banner,1,5,1,3600,-1,3
960,minecraft:green_banner,0,5,1,3600,-1,3
961,minecraft:green_wall_banner,1,5,1,3600,-1,3
961,minecraft:green_wall_banner,0,5,1,3600,-1,3
968,minecraft:cyan_banner,1,5,1,3600,-1,3
968,minecraft:cyan_banner,0,5,1,3600,-1,3
970,minecraft:purple_wall_banner,1,5,1,3600,-1,3
970,minecraft:purple_wall_banner,0,5,1,3600,-1,3
976,minecraft:purple_banner,1,5,1,3600,-1,3
976,minecraft:purple_banner,0,5,1,3600,-1,3
979,minecraft:gray_banner,1,5,1,3600,-1,3
979,minecraft:gray_banner,0,5,1,3600,-1,3
981,minecraft:brown_wall_banner,1,5,1,3600,-1,3
981,minecraft:brown_wall_banner,0,5,1,3600,-1,3
982,minecraft:brown_banner,1,5,1,3600,-1,3
982,minecraft:brown_banner,0,5,1,3600,-1,3
987,minecraft:lime_wall_banner,1,5,1,3600,-1,3
987,minecraft:lime_wall_banner,0,5,1,3600,-1,3
1015,minecraft:orange_banner,1,2700,10,3600,-1,3
1015,minecraft:orange_banner,0,60,5,3600,-1,3
1042,minecraft:orange_wall_banner,1,60,5,3600,-1,3
1042,minecraft:orange_wall_banner,0,5,1,3600,-1,3
1046,minecraft:yellow_wall_banner,1,5,1,3600,-1,3
1046,minecraft:yellow_wall_banner,0,5,1,3600,-1,3
1047,minecraft:yellow_banner,1,5,1,3600,-1,3
1047,minecraft:yellow_banner,0,5,1,3600,-1,3
1062,minecraft:sculk_sensor,1,5,1,3600,-1,2
1062,minecraft:sculk_sensor,0,5,1,3600,-1,2
1084,minecraft:goat_horn,1,5,1,3600,-1,1
1084,minecraft:goat_horn,0,5,1,3600,-1,1
1096,minecraft:gray_wall_banner,1,5,1,3600,-1,3
1096,minecraft:gray_wall_banner,0,5,1,3600,-1,3
1129,minecraft:light_gray_wall_banner,1,5,1,3600,-1,3
1129,minecraft:light_gray_wall_banner,0,5,1,3600,-1,3
1145,minecraft:flower_banner_pattern,1,5,1,3600,-1,3
1145,minecraft:flower_banner_pattern,0,5,1,3600,-1,3
1167,minecraft:globe_banner_pattern,1,5,1,3600,-1,3
1167,minecraft:globe_banner_pattern,0,5,1,3600,-1,3
