World,Object,Object_name,x,z,range,Expected_Action,minimap_marker,Note
,,TowerMechanic,405,-448,,"visit 400, -453",Yes,visit other scientists
,,Ornithologist,400,-453,,,Yes,
,,Herpetologist,-95,-453,,,Yes,
TiltedFrozen,Global,NA,,,,"/tides, /radiation, /humidity, /temperature, /tilt",,
,Place,Heat Vents,418,-823,,"/temperature, /pressure",Yes,
,,Helicopter,358,-341,,,Yes,
,Animals,Bears,346,-98,,,,
,,Rabbits,331,-248,,,,
,,Axolotls,418,-823,,,,
,NPCs,QuantumAstrochemist,192,174,,,,assign quest time traveler
,,TowerMechanic,405,-448,,"visit 400, -453",,visit other scientists
,,Ornithologist,400,-453,,,,
,,Herpetologist,-95,-453,,,,
TiltedMelting,Global,NA,,,,"/tides, /radiation, /humidity, /temperature",,
,Place,Heat Vents,409,-809,,"/temperature, /pressure",,
,,Helicopter,348,-341,,,,
,Animals,Bears,216,-81,,,,
,,Rabbits,360,-74,,,,
,,Axolotls,409,-809,,,,
,,Birds,348,-341,,,,
,NPCs,QuantumAstrochemist,192,174,,,,assign quest time traveler
,,TowerMechanic,405,-448,,"visit 400, -453",,visit other scientists
,,Ornithologist,400,-453,,,,
,,Herpetologist,-95,-453,,,,
MynoaClose,Global,NA,,,,"/magnetic_field, /tides, /temperature, /pressure",,
,NPCs,ShadowyMynoanCreature,1324,914,,"/observe, /temperature",,give side quest
MynoaHalf,Global,NA,,,,"/magnetic_field, /tides, /temperature, /humidity, /atmosphere",,
,,Volcanos,,,,,,too wide to track
,NPCs,Mysterious Mynoan,6,177,,"/observe, /temperature, /magnetic_field",,give side quest
MynoaMangrove,Global,NA,,,,"/magnetic_field, /tides, /temperature, /humidity, /gravity",,
,Place,Museum,-21,-390,"(286,379) (261,394)","/tides, /gravity, /radius, /gravity, /rotational_period, /magnetic_field, /tectonic",yes,
,,Habitation,320,336,"(312,315) (331,359)","/wind, /rotational_period, /year, /radiation",yes,
,,Northern Lights cue,298,167,,"/tides, /magnetic_field",yes,Magnetic fields on horizon
,,Sunken trees cue,236,159,,"/tides, /pressure",yes,Tidal flooding
,,Loop Portal,263,389,,,exploration,"Goes back to start of Mynoa, suggests exploration"
,,Magnetic field statue,275,366,,/magnetic_field,yes,Statue depicting magnetic field lines
,Data-based Signals,Axial Tilt hint,310,290,,/tilt,exploration,Floating hint to look at tilt
,,Water,,,,,,too wide to track
,,Terrain,,,,,,too wide to track
,NPCs,Biologist,303,195,,"/gravity, /magnetic_field",yes,"Explains increased gravitational pull, nearby marker for magnetic fields, height 84"
,,MuseumCurator,274,388,,/magnetic_field,yes,"Suggests looking at the sky, height 76"
TwoMoons,Global,NA,,,,"/tides, /daylength, /temperature, /pressure",,
,Place,Museum,1,90,"(0,103) (-2,108) (-16,108) (-20,103) (-20,95) (-16,90) (-4,90)",,Yes,
,,"Buoy, rock, retention wall",79,51,,,exploration,three indicators of tide status
,,Kuu Fragment,-4,103,,,,
,NPCs,Worker,81,14,,,,
,,Kristina,50,93,,"visit 86, 109",Yes,"give quest, talk to Tobias"
,,Tobias,87,109,,/tides,,give quest to measure tides
,,Joel,-10,92,,visit TwoMoonsLluna world,,prompt to explore Lluna
TwoMoonsLow,Global,NA,,,,"/tides, /daylength, /temperature, /pressure",,
,Place,Museum,2,99,"(-20,95) (-14,89) (-1,95) (0,10) (-3,109) (-16,109) (-19,106)",,Yes,
,,"Buoy, rock, retention wall",84,23,,,Yes,three indicators of tide status
,,Portal,49,93,"(38,98) (52,86)",,,
,NPCs,Worker,96,15,,,,
,,Kristina,42,93,,/daylength,,give quest
TwoMoonsLluna,Global,NA,,,,"/tides, /daylength, /temperature",,
,Place,View point of other moon,64,40,"(102,-68) (-38,-80)",,Yes,too wide to measure
,NPCs,InformationAgent,64,79,,,,
Trappist,Global,NA,,,,"/year, /cosmicrays",,
,Place,Pond 2,-3,119,"(-12,120) (0,127) (8,121) (8,124) (0,145) (-4,154) (-7,159) (-13,158) (-20,151) (-13,158)","/atmosphere, /composition",Yes,xz coordinate indicate the stadning point to see hints
,,Pond 1,-138,-58,"(-152,-50) (-119,-50) (-119,-80) (-152,-80)","/atmosphere, /composition",Yes,
,NPCs,Chemist,-35,6,,"/atmosphere, /composition",,assign quest
Gliese,Global,NA,,,,"/gravity, /atmosphere, /temperature, /pressure, /radius",,
,Place,Program probe,2,52,,,Yes,
,,Investigate sublimation,5,88,,,Yes,"Really this would be any spot at this height, but there's a marker"
,NPCs,E.Mattson,5,40,,,,
,,Prospector,0,51,,/temperature,,assign quest
Cancri,Global,NA,,,,"/atmosphere, /gravity, /pressure, /radius",,
,NPCs,Surveyor,46,64,,/radiation,Yes,prompt to measure radiation
CancriCold,Global,NA,,,,"/atmosphere, /gravity, /pressure, /radius, /radiation, /temperature",,
,Place,Clound observation point,-29,80,"(-25,80) (-33,80)",/atmosphere,Yes,see what the clouds are made of
,,Thermal Vents,25,10,,,,
,,Drone launch,-35,8,,,Yes,what's the purpose (??)
,NPCs,Pilot,-20,44,,"visit -12,32",,visit docking rube to find Saige
,,EngineerSaige,-12,32,,"visit -35, 8",,launch a survey drone
,,ResearcherNate,-41,5,,"visit -14, 67; /temperature, /atmosphere, /gravity",,travel outside through airlock and take measurements
,,ScientistKobey,25,16,,"/temperature, /atmosphere",,take measurements
,,GeologistGavin,-42,-11,,,,
Kepler,Global,,,,,"/atmosphere, /year, /gravity, /temperature, /radius",,
,Place,Robot sample,195,66,"(197,66) (197,67)",,Yes,turn on the machine to collect smaple
,,Kepler water,166,-11,,/atmosphere,Yes,hints of purple water
,,Bioresearch lab,269,-78,,,exploration,"resited access, not accessible"
,NPCs,ExonautExplorer,275,-34,,"visit 195, 66",,give quest to collect samples
,,Xenobotanist,269,-86,,,,
,,Astrozoologist,167,-7,,"/atmosphere; visit 195, 69",,measure life in the lake and visit robot
BrownDwarf,Global,NA,,,,"/atmosphere, /temperature, /year, /rotational_period, /radiation, /gravity",,
,Place,Investigate core,39,-11,,/atmosphere,,
,NPCs,Quest,40,18,,,,prompt to pilot probe
